scientific_name,geometry
Pinus longaeva D.K.Bailey,"c(-112.161092, 37.610733)"
Pinus longaeva D.K.Bailey,"c(-112.235477, 37.470196)"
Pinus longaeva D.K.Bailey,"c(-112.150519, 37.635651)"
Pinus longaeva D.K.Bailey,"c(-112.161168, 37.610889)"
Pinus longaeva D.K.Bailey,"c(-112.235465, 37.47028)"
Pinus longaeva D.K.Bailey,"c(-115.63252, 36.336262)"
Pinus longaeva D.K.Bailey,"c(-115.63252, 36.336262)"
Pinus longaeva D.K.Bailey,"c(-112.15796, 37.625473)"
Pinus longaeva D.K.Bailey,"c(-112.158425, 37.614792)"
Pinus longaeva D.K.Bailey,"c(-112.210735, 37.562187)"
Pinus longaeva D.K.Bailey,"c(-112.164897, 37.638132)"
Pinus longaeva D.K.Bailey,"c(-118.176812, 37.38608)"
Pinus longaeva D.K.Bailey,"c(-117.699967, 37.282038)"
Pinus longaeva D.K.Bailey,"c(-112.319661, 37.745951)"
Pinus longaeva D.K.Bailey,"c(-115.62029, 36.312617)"
Pinus longaeva D.K.Bailey,"c(-112.236092, 37.471105)"
Pinus longaeva D.K.Bailey,"c(-112.235359, 37.470428)"
Pinus longaeva D.K.Bailey,"c(-112.832038, 37.632287)"
Pinus longaeva D.K.Bailey,"c(-112.235413, 37.470372)"
Pinus longaeva D.K.Bailey,"c(-112.158377, 37.61462)"
Pinus longaeva D.K.Bailey,"c(-112.110932, 37.665588)"
Pinus longaeva D.K.Bailey,"c(-112.236142, 37.471223)"
Pinus longaeva D.K.Bailey,"c(-112.133378, 37.637958)"
Pinus longaeva D.K.Bailey,"c(-114.294388, 38.800818)"
Pinus longaeva D.K.Bailey,"c(-114.939394, 38.505002)"
Pinus longaeva D.K.Bailey,"c(-118.168869, 37.385564)"
Pinus longaeva D.K.Bailey,"c(-112.235917, 37.470988)"
Pinus longaeva D.K.Bailey,"c(-112.235978, 37.471038)"
Pinus longaeva D.K.Bailey,"c(-112.23603, 37.471072)"
Pinus longaeva D.K.Bailey,"c(-112.236175, 37.471447)"
Pinus longaeva D.K.Bailey,"c(-112.236437, 37.471675)"
Pinus longaeva D.K.Bailey,"c(-114.30487, 39.000847)"
Pinus longaeva D.K.Bailey,"c(-112.170525, 37.616242)"
Pinus longaeva D.K.Bailey,"c(-112.158889, 37.625313)"
Pinus longaeva D.K.Bailey,"c(-112.158736, 37.625713)"
Pinus longaeva D.K.Bailey,"c(-112.159164, 37.62605)"
Pinus longaeva D.K.Bailey,"c(-118.17836, 37.386108)"
Pinus longaeva D.K.Bailey,"c(-112.155628, 37.603867)"
Pinus longaeva D.K.Bailey,"c(-112.158736, 37.614325)"
Pinus longaeva D.K.Bailey,"c(-112.158317, 37.614589)"
Pinus longaeva D.K.Bailey,"c(-112.792389, 37.785714)"
Pinus longaeva D.K.Bailey,"c(-118.164214, 37.3844)"
Pinus longaeva D.K.Bailey,"c(-118.164381, 37.382244)"
Pinus longaeva D.K.Bailey,"c(-114.305026, 39.000457)"
Pinus longaeva D.K.Bailey,"c(-114.305006, 39.000526)"
Pinus longaeva D.K.Bailey,"c(-114.304955, 39.000867)"
