Figures can be changed subjected to verification,,,,,,,
State,Locality,Houses destroyed,Houses damaged,Households affected,People killed,People injured,People affected
Aj Jazirah,Al Qurashi,54 ,,956 ,,,"5,050 "
Aj Jazirah,Al Manaqil,113 ,316 ,330 ,,,"2,045 "
Aj Jazirah,Ad Diwaim,21 ,45 ,66 ,,,330 
East Darfur,Ad Du'ayn,249 ,100 ,349 ,,,"1,745 "
East Darfur,Yassin,137 ,,137 ,,,685 
East Darfur,Assalaya,34 ,,34 ,,,170 
East Darfur,Bahr Al Arab,103 ,,103 ,,,515 
East Darfur,Al Firdous,265 ,,,3 ,,"1,328 "
Kassala,Halfa Aj Jadeedah,,,,,,
Kassala,Madeinat Kassala,,213 ,"1,708 ",,,"9,106 "
Kassala,Reifi Aroma,664 ,,915 ,3 ,7 ,"4,590 "
Kassala,Reifi Gharb Kassala,,,192 ,,,"1,072 "
Kassala,Reifi Kassla,,,62 ,5 ,,325 
Kassala,Reifi Khashm Elgirba,,,,,,
North Darfur,Al Fasher,"2,446 ","2,628 ","4,725 ",,,"24,625 "
North Darfur,Al Koma,"1,253 ",778 ,"1,876 ",,,"10,155 "
North Darfur,Dar As Salam,517 ,640 ,557 ,,,"2,785 "
North Darfur,Kebkabiya,630 ,"6,202 ","3,731 ",,,"34,160 "
North Darfur,Kernoi,117 ,64 ,161 ,,,905 
North Darfur,Saraf Omra,66 ,500 ,566 ,,,"2,830 "
North Darfur,Kutum,"3,562 ","3,542 ","7,114 ",,,"35,570 "
North Darfur,Tawila,108 ,"1,537 ",108 ,,,"8,225 "
North Darfur,At Tina,122 ,130 ,131 ,,,"1,260 "
North Darfur,As Serief,22 ,57 ,22 ,,,395 
North Darfur,Um Kadadah,17 ,68 ,85 ,,,425 
North Darfur,Al Malha,202 ,225 ,427 ,,,"2,135 "
North Darfur,Um Baru,38 ,39 ,77 ,,,385 
North Kordofan,Sheikan,,,,2 ,,52 
North Kordofan,Um Rawaba,10 ,237 ,247 ,,,"1,235 "
North Kordofan,Soudari,570 ,570 ,870 ,,,"4,350 "
Northern,Ad Dabbah,77 ,827 ,904 ,6 ,21 ,"4,547 "
Northern,Al Burgaig,"1,066 ","1,062 ","1,708 ",,,"10,670 "
Northern,Al Golid,34 ,289 ,888 ,,,"4,440 "
Northern,Delgo,159 ,225 ,384 ,,,"1,920 "
Northern,Dongola,137 ,"2,457 ","2,594 ",13 ,82 ,"13,065 "
Northern,Halfa,813 ,"1,373 ","2,187 ",2 ,,"10,937 "
Northern,Merwoe,"2,469 ","2,050 ","2,880 ",,,"22,615 "
Red Sea,Port Sudan,230 ,32 ,"3,048 ",3 ,,"15,243 "
Red Sea,Hala'ib,91 ,,91 ,,,455 
Red Sea,Jubayt Elma'aadin,73 ,161 ,234 ,,,"1,170 "
Red Sea,Al Ganab,,,"10,000 ",30 ,,"50,000 "
Red Sea,Tawkar,"20,500 ",,"20,500 ",25 ,,"102,525 "
River Nile,Abu Hamad,"11,237 ",289 ,"11,526 ",,,"57,765 "
River Nile,Shendi,136 ,92 ,228 ,2 ,,"1,140 "
River Nile,Al Matama,8 ,3 ,11 ,,,55 
South Darfur,Rehaid Albirdi,119 ,"1,787 ","1,906 ",,,"9,525 "
South Darfur,Ed Al Fursan,"1,050 ","7,520 ","8,570 ",-,,"51,420 "
South Darfur,Al Wihda,142 ,95 ,237 ,,,"1,185 "
South Darfur,Tulus,50 ,150 ,200 ,,,"1,000 "
South Darfur,Um Dafoug,570 ,300 ,870 ,,,"4,350 "
West Darfur,Kulbus,183 ,554 ,453 ,,,"3,835 "
West Darfur,Kereneik,316 ,353 ,697 ,,,"3,485 "
West Darfur,Foro Baranga,"1,845 ",603 ,"2,448 ",,,"12,240 "
West Darfur,Ag Geneina,985 ,712 ,"1,697 ",,,"8,485 "
West Darfur,Sirba,20 ,44 ,20 ,,,100 
West Darfur,Beida,17 ,4 ,17 ,,,85 
White Nile,Aj Jabalain,309 ,94 ,90 ,1 ,,"2,016 "
White Nile,Rabak,693 ,859 ,"1,552 ",,,695 
White Nile,Al Gitaina,294 ,346 ,690 ,,,"3,612 "
White Nile,Guli,"4,090 ","2,708 ","6,798 ",,,"34,552 "
White Nile,Kosti,"1,108 ","1,193 ","2,327 ",,,"16,190 "
White Nile,Tanduti,212 ,237 ,449 ,,,"13,127 "
White Nile,As Salam / Ar Rawat,"1,933 ","1,427 ","3,360 ",,,"16,800 "
Central Darfur,Bendasi,"2,382 ","4,127 ","6,509 ",2 ,2 ,"32,549 "
Central Darfur,Azum,176 ,687 ,"1,198 ",,,"5,990 "
Central Darfur,Gharb Jabal Marrah,130 ,215 ,345 ,,,"1,725 "
Central Darfur,Shamal Jabal Marrah,7 ,,7 ,,,35 
Central Darfur,Wadi Salih,43 ,117 ,160 ,,,800 
West Kordofan,Wad Bandah,200 ,200 ,400 ,,,"2,000 "
Gedaref,Al Mafaza,,289 ,307 ,,,"1,662 "
Gedaref,Al Fao,50 ,150 ,200 ,,,"1,000 "
Khartoum,Bahri,,,9 ,,,45 
Khartoum,Sharg An Neel,,237 ,247 ,,,"1,235 "
Blue Nile,Ar Rusayris,,,571 ,,,"2,855 "
Grand Total,,"65,274 ","51,759 ","125,066 ",97 ,112 ,"685,598 "
